title,content,publishedAt,processed_title,ner_title,processed_content,ner_content
DOJ subpoenas NVIDIA as part of antitrust probe regarding AI processors,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-04,doj subpoena nvidia part antitrust probe regard ai processor,"(S
  doj/NN
  subpoenas/NNS
  nvidia/VBP
  part/NN
  antitrust/JJ
  probe/NN
  regarding/VBG
  ai/JJ
  processors/NNS)","click 'accept all ' , partner , include 239 part iab transparency & amp ; consent framework , also store and/or access information device ( in word , use … [ +678 char ]","(S
  click/NN
  'accept/IN
  all/DT
  '/''
  ,/,
  partners/NNS
  ,/,
  including/VBG
  239/CD
  part/NN
  iab/NN
  transparency/NN
  &/CC
  amp/NN
  ;/:
  consent/NN
  framework/NN
  ,/,
  also/RB
  store/VBP
  and/or/JJ
  access/NN
  information/NN
  device/NN
  (/(
  in/IN
  words/NNS
  ,/,
  use/NN
  …/JJ
  [/NNP
  +678/NNP
  chars/VBZ
  ]/VB)"
The Leaked Nvidia RTX 5090 Has So Many Cores It Actually Scares Me,The GeForce RTX 4090 is already so big that any PC builder worth their salt knows that you’ll need specialized brackets just to keep it from falling and dismantling your computer. The anticipated RTX… [+3131 chars],2024-09-27,leak nvidia rtx 5090 many core actually scare,"(S
  leaked/VBN
  nvidia/RB
  rtx/JJ
  5090/CD
  many/JJ
  cores/NNS
  actually/RB
  scares/NNS)",geforce rtx 4090 already big pc builder worth salt know you ’ ll need specialize bracket keep fall dismantle computer . anticipated rtx… [ +3131 char ],"(S
  geforce/NN
  rtx/NN
  4090/CD
  already/RB
  big/JJ
  pc/NN
  builder/NN
  worth/NN
  salt/NN
  knows/VBZ
  you/PRP
  ’/VBP
  ll/JJ
  need/VBP
  specialized/VBN
  brackets/NNS
  keep/VB
  falling/VBG
  dismantling/VBG
  computer/NN
  ./.
  anticipated/JJ
  rtx…/NN
  [/NNP
  +3131/NNP
  chars/VBZ
  ]/VB)"
ByteDance will reportedly use Huawei chips to train a new AI model,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-30,bytedance reportedly use huawei chip train new ai model,"(S
  bytedance/NN
  reportedly/RB
  use/JJ
  huawei/JJ
  chips/NNS
  train/VBP
  new/JJ
  ai/NN
  model/NN)","click 'accept all ' , partner , include 240 part iab transparency & amp ; consent framework , also store and/or access information device ( in word , use … [ +678 char ]","(S
  click/NN
  'accept/IN
  all/DT
  '/''
  ,/,
  partners/NNS
  ,/,
  including/VBG
  240/CD
  part/NN
  iab/NN
  transparency/NN
  &/CC
  amp/NN
  ;/:
  consent/NN
  framework/NN
  ,/,
  also/RB
  store/VBP
  and/or/JJ
  access/NN
  information/NN
  device/NN
  (/(
  in/IN
  words/NNS
  ,/,
  use/NN
  …/JJ
  [/NNP
  +678/NNP
  chars/VBZ
  ]/VB)"
This chart shows one potential advantage AWS's AI chips have over Microsoft and Google,"Noah Berger/Getty Images
<ul><li>Big tech cloud providers are developing homegrown AI chips to rival Nvidia.</li><li>Amazon, Google, and Microsoft have AI chips, but AWS's offerings have wider avail… [+3550 chars]",2024-09-26,chart show one potential advantage aws 's ai chip microsoft google,"(S
  chart/NN
  shows/VBZ
  one/CD
  potential/JJ
  advantage/NN
  aws/NN
  's/POS
  ai/JJ
  chips/NNS
  microsoft/VBP
  google/NN)","noah berger/getty image < ul > < li > big tech cloud provider develop homegrown ai chip rival nvidia. < /li > < li > amazon , google , microsoft ai chip , aws 's offering wider avail… [ +3550 char ]","(S
  noah/JJ
  berger/getty/NN
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/NN
  >/NNP
  big/JJ
  tech/NN
  cloud/NN
  providers/NNS
  developing/VBG
  homegrown/JJ
  ai/NN
  chips/NNS
  rival/JJ
  nvidia./JJ
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  amazon/NN
  ,/,
  google/NN
  ,/,
  microsoft/JJ
  ai/NN
  chips/NNS
  ,/,
  aws/NN
  's/POS
  offerings/NNS
  wider/VBP
  avail…/JJ
  [/NNP
  +3550/NNP
  chars/VBZ
  ]/VB)"
Nvidia's days of absolute dominance in AI could be numbered because of this key performance benchmark,"Rodrigo Liang, CEO and co-founder of SambaNova SystemsSambaNova Systems
<ul><li>Nvidia faces competition in AI inference from startups like SambaNova, Groq, and Cerebras.</li><li>Inference, the prod… [+6555 chars]",2024-09-26,nvidia 's day absolute dominance ai could number key performance benchmark,"(S
  nvidia/NN
  's/POS
  days/NNS
  absolute/VBP
  dominance/NN
  ai/NN
  could/MD
  numbered/VB
  key/JJ
  performance/NN
  benchmark/NN)","rodrigo liang , ceo co-founder sambanova systemssambanova system < ul > < li > nvidia face competition ai inference startup like sambanova , groq , cerebras. < /li > < li > inference , prod… [ +6555 char ]","(S
  rodrigo/NN
  liang/NN
  ,/,
  ceo/JJ
  co-founder/NN
  sambanova/NN
  systemssambanova/JJ
  systems/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/JJ
  nvidia/JJ
  faces/VBZ
  competition/NN
  ai/NN
  inference/NN
  startups/NNS
  like/IN
  sambanova/NN
  ,/,
  groq/NN
  ,/,
  cerebras./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/JJ
  inference/NN
  ,/,
  prod…/NN
  [/NNP
  +6555/NNP
  chars/VBZ
  ]/VB)"
The cult of Nvidia is getting really weird,"Everyone could probably stand to chill about Nvidia.Getty Images; Jenny Chang-Rodriguez/BI
I probably do not have to tell you that Nvidia has really blown up over the past few years. The tech compan… [+11652 chars]",2024-09-09,cult nvidia get really weird,(S cult/NN nvidia/IN getting/VBG really/RB weird/JJ),everyone could probably stand chill nvidia.getty image ; jenny chang-rodriguez/bi probably tell nvidia really blow past year . tech compan… [ +11652 char ],"(S
  everyone/NN
  could/MD
  probably/RB
  stand/VB
  chill/NN
  nvidia.getty/JJ
  images/NNS
  ;/:
  jenny/CC
  chang-rodriguez/bi/NN
  probably/RB
  tell/VB
  nvidia/RB
  really/RB
  blown/VBN
  past/JJ
  years/NNS
  ./.
  tech/NN
  compan…/NN
  [/NNP
  +11652/NNP
  chars/VBZ
  ]/VB)"
"Xavier Niel, a Driving Force of French AI, Is Now Shaping TikTok","If Europe wants to compete with Asia and the US on AI, he believes the continent has to act now. If you want to create a search engine now from scratch, you cannot win because you were not there 25 y… [+3633 chars]",2024-09-20,"xavier niel , drive force french ai , shape tiktok","(S
  xavier/JJR
  niel/NN
  ,/,
  driving/VBG
  force/NN
  french/JJ
  ai/NN
  ,/,
  shaping/VBG
  tiktok/NN)","europe want compete asia u ai , believe continent act now . want create search engine scratch , can not win 25 y… [ +3633 char ]","(S
  europe/NN
  wants/VBZ
  compete/JJ
  asia/IN
  us/PRP
  ai/VBP
  ,/,
  believes/VBZ
  continent/JJ
  act/NN
  now/RB
  ./.
  want/VBP
  create/JJ
  search/NN
  engine/NN
  scratch/NN
  ,/,
  can/MD
  not/RB
  win/VB
  25/CD
  y…/JJ
  [/NNP
  +3633/NNP
  chars/VBZ
  ]/VB)"
Nvidia's Jensen Huang just crashed out of the $100 billion club after his net worth plunged by almost $10 billion,"Nvidia CEO Jensen Huang is no longer a member of a very exclusive club.Sam Yeh/AFP/Getty Images
<ul><li>Nvidia's Jensen Huang fell out of the $100 billion club on Tuesday.</li><li>The chipmaker's st… [+2151 chars]",2024-09-04,nvidia 's jensen huang crash $ 100 billion club net worth plunge almost $ 10 billion,"(S
  nvidia/NN
  's/POS
  jensen/NN
  huang/NN
  crashed/VBD
  $/$
  100/CD
  billion/CD
  club/JJ
  net/JJ
  worth/NN
  plunged/VBD
  almost/RB
  $/$
  10/CD
  billion/CD)",nvidia ceo jensen huang longer member exclusive club.sam yeh/afp/getty image < ul > < li > nvidia 's jensen huang fell $ 100 billion club tuesday. < /li > < li > the chipmaker 's st… [ +2151 char ],"(S
  nvidia/RB
  ceo/NN
  jensen/NN
  huang/NN
  longer/RBR
  member/NN
  exclusive/JJ
  club.sam/NN
  yeh/afp/getty/NN
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  nvidia/NN
  's/POS
  jensen/NN
  huang/NN
  fell/VBD
  $/$
  100/CD
  billion/CD
  club/NN
  tuesday./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/VB
  the/DT
  chipmaker/NN
  's/POS
  st…/NN
  [/NNP
  +2151/NNP
  chars/VBZ
  ]/VB)"
We're about to find out if Jensen Huang can get investors to snap out of their AI panic,Nvidia CEO Jensen Huang is set to speak at a Goldman Sachs conference at a time when investors are growing uncertain over AI hype.Noah Berger/Getty Images; Jenny Chang-Rodriguez/BI; Chelsea Jia Feng/… [+4047 chars],2024-09-11,we 're find jensen huang get investor snap ai panic,"(S
  we/PRP
  're/VBP
  find/JJ
  jensen/NN
  huang/NN
  get/VBP
  investors/NNS
  snap/VBP
  ai/JJ
  panic/NN)",nvidia ceo jensen huang set speak goldman sachs conference time investor grow uncertain ai hype.noah berger/getty image ; jenny chang-rodriguez/bi ; chelsea jia feng/… [ +4047 char ],"(S
  nvidia/RB
  ceo/NN
  jensen/NN
  huang/NN
  set/VBN
  speak/JJ
  goldman/NN
  sachs/VB
  conference/NN
  time/NN
  investors/NNS
  growing/VBG
  uncertain/JJ
  ai/JJ
  hype.noah/NN
  berger/getty/NN
  images/NNS
  ;/:
  jenny/JJ
  chang-rodriguez/bi/NN
  ;/:
  chelsea/NN
  jia/NN
  feng/…/NN
  [/NNP
  +4047/NNP
  chars/VBZ
  ]/VB)"
Larry Ellison says he and Elon Musk 'begged' Jensen Huang for GPUs over dinner,"Larry Ellison and Elon Musk.Getty Images
<ul><li>Larry Ellison said he and Elon Musk begged Nvidia's Jensen Huang for more GPUs at a dinner.</li><li>Ellison made the comment during Oracle's earnings… [+1994 chars]",2024-09-16,larry ellison say elon musk 'begged ' jensen huang gpus dinner,"(S
  larry/NN
  ellison/NN
  says/VBZ
  elon/NN
  musk/NN
  'begged/VBD
  '/POS
  jensen/NN
  huang/NN
  gpus/NN
  dinner/NN)",larry ellison elon musk.getty image < ul > < li > larry ellison say elon musk beg nvidia 's jensen huang gpus dinner. < /li > < li > ellison make comment oracle 's earnings… [ +1994 char ],"(S
  larry/NN
  ellison/NN
  elon/NN
  musk.getty/NN
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  larry/NNP
  ellison/NN
  said/VBD
  elon/JJ
  musk/NN
  begged/VBD
  nvidia/NN
  's/POS
  jensen/NN
  huang/NN
  gpus/NN
  dinner./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  ellison/NN
  made/VBD
  comment/NN
  oracle/NN
  's/POS
  earnings…/JJ
  [/NN
  +1994/NNP
  chars/VBZ
  ]/VB)"
