title,content,publishedAt
DOJ subpoenas NVIDIA as part of antitrust probe regarding AI processors,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-04T15:34:35Z
The Leaked Nvidia RTX 5090 Has So Many Cores It Actually Scares Me,The GeForce RTX 4090 is already so big that any PC builder worth their salt knows that you’ll need specialized brackets just to keep it from falling and dismantling your computer. The anticipated RTX… [+3131 chars],2024-09-27T13:35:22Z
ByteDance will reportedly use Huawei chips to train a new AI model,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-30T15:48:46Z
Nvidia might actually lose in this key part of the AI chip business,"Justin Sullivan/Getty
<ul><li>Inference made up 40% of Nvidia's $26.3 billion Q2 data center revenue.</li><li>Inference computing demand will increase as AI matures.</li><li>Companies like Groq and … [+4334 chars]",2024-09-01T13:00:02Z
This chart shows one potential advantage AWS's AI chips have over Microsoft and Google,"Noah Berger/Getty Images
<ul><li>Big tech cloud providers are developing homegrown AI chips to rival Nvidia.</li><li>Amazon, Google, and Microsoft have AI chips, but AWS's offerings have wider avail… [+3550 chars]",2024-09-26T09:00:02Z
Nvidia's days of absolute dominance in AI could be numbered because of this key performance benchmark,"Rodrigo Liang, CEO and co-founder of SambaNova SystemsSambaNova Systems
<ul><li>Nvidia faces competition in AI inference from startups like SambaNova, Groq, and Cerebras.</li><li>Inference, the prod… [+6555 chars]",2024-09-26T09:00:02Z
Nvidia Hit With DOJ Subpoena In Escalating Antitrust Probe,"According to Bloomberg(paywalled), Nvidia has received a subpoena from the U.S. Department of Justice as the regulator seeks evidence that the AI computing company violated antitrust laws. ""The antit… [+615 chars]",2024-09-03T21:20:00Z
The cult of Nvidia is getting really weird,"Everyone could probably stand to chill about Nvidia.Getty Images; Jenny Chang-Rodriguez/BI
I probably do not have to tell you that Nvidia has really blown up over the past few years. The tech compan… [+11652 chars]",2024-09-09T09:43:02Z
"Xavier Niel, a Driving Force of French AI, Is Now Shaping TikTok","If Europe wants to compete with Asia and the US on AI, he believes the continent has to act now. If you want to create a search engine now from scratch, you cannot win because you were not there 25 y… [+3633 chars]",2024-09-20T10:53:37Z
Justice Department takes a major step toward an antitrust lawsuit against Nvidia,"Nvidia is based in Santa Clara, California.Justin Sullivan/Getty Images
<ul><li>The DOJ subpoenaed Nvidia in its antitrust probe into the chipmaker.</li><li>Officials are investigating whether Nvidi… [+958 chars]",2024-09-03T21:10:26Z
